# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-B" "-C" "-s" "2" "-t" "gene" "-g" "ID" "-a" "reference_genome/annotation.gff3" "-o" "results/day2_rnaseq/counts/featureCounts_all_samples.txt" "results/day2_rnaseq/bam/WTS_1.filtered.bam" "results/day2_rnaseq/bam/WTS_2.filtered.bam" "results/day2_rnaseq/bam/WTS_3.filtered.bam" "results/day2_rnaseq/bam/WT_1.filtered.bam" "results/day2_rnaseq/bam/WT_2.filtered.bam" "results/day2_rnaseq/bam/WT_3.filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	results/day2_rnaseq/bam/WTS_1.filtered.bam	results/day2_rnaseq/bam/WTS_2.filtered.bam	results/day2_rnaseq/bam/WTS_3.filtered.bam	results/day2_rnaseq/bam/WT_1.filtered.bam	results/day2_rnaseq/bam/WT_2.filtered.bam	results/day2_rnaseq/bam/WT_3.filtered.bam
gene-OW489_RS00095	NZ_AP026446.1	25052	25405	-	354	639	765	873	1377	2141	1290
gene-OW489_RS00100	NZ_AP026446.1	25402	26064	-	663	929	819	885	1407	1560	1388
gene-OW489_RS00105	NZ_AP026446.1	26170	27546	+	1377	1286	1471	1448	2121	2601	1842
gene-OW489_RS00110	NZ_AP026446.1	27556	28755	-	1200	3732	5631	5978	5230	5662	4831
gene-OW489_RS00115	NZ_AP026446.1	28841	30067	+	1227	402	402	527	501	776	550
gene-OW489_RS00120	NZ_AP026446.1	30064	31098	+	1035	223	299	405	307	484	201
gene-OW489_RS00125	NZ_AP026446.1	31080	31796	+	717	412	1021	1029	625	989	553
gene-OW489_RS00130	NZ_AP026446.1	31822	34173	+	2352	594	699	702	270	415	265
gene-OW489_RS00135	NZ_AP026446.1	34170	34607	-	438	454	701	703	2976	3208	2856
gene-OW489_RS00140	NZ_AP026446.1	34787	35953	+	1167	13887	15874	18606	18869	19512	20219
gene-OW489_RS00145	NZ_AP026446.1	36253	37167	-	915	0	0	0	0	0	0
gene-OW489_RS00150	NZ_AP026446.1	37276	38343	-	1068	772	1261	1396	229	530	217
gene-OW489_RS00155	NZ_AP026446.1	38398	38958	-	561	2482	2154	2288	914	1367	1036
gene-OW489_RS00160	NZ_AP026446.1	38968	39504	-	537	8612	11363	11469	8865	12732	9136
gene-OW489_RS00165	NZ_AP026446.1	39559	40509	-	951	413	741	676	1052	1345	863
gene-OW489_RS00170	NZ_AP026446.1	40513	41856	-	1344	208	447	424	258	320	202
gene-OW489_RS00175	NZ_AP026446.1	41860	42471	-	612	444	431	441	353	512	328
gene-OW489_RS00180	NZ_AP026446.1	42483	42752	-	270	168	319	346	343	350	336
gene-OW489_RS00185	NZ_AP026446.1	42890	44491	+	1602	457	417	596	607	1277	646
gene-OW489_RS00190	NZ_AP026446.1	44590	45939	+	1350	5445	3832	4380	2386	3252	2103
gene-OW489_RS00195	NZ_AP026446.1	45936	47468	+	1533	1837	1893	1927	1792	2839	1614
gene-OW489_RS00200	NZ_AP026446.1	47480	48469	+	990	1006	849	855	913	1032	957
gene-OW489_RS00205	NZ_AP026446.1	48481	49578	+	1098	1009	930	877	643	1008	572
gene-OW489_RS00210	NZ_AP026446.1	49575	50705	+	1131	675	883	800	416	636	379
gene-OW489_RS00215	NZ_AP026446.1	50692	51261	+	570	112	182	161	74	62	61
gene-OW489_RS00220	NZ_AP026446.1	51276	51722	+	447	238	756	728	521	521	440
gene-OW489_RS00225	NZ_AP026446.1	51746	52486	+	741	1124	1223	1305	1039	1159	956
gene-OW489_RS00230	NZ_AP026446.1	52496	52765	+	270	124	115	85	107	155	104
gene-OW489_RS00235	NZ_AP026446.1	52769	53566	+	798	2502	2055	2062	1867	2453	1679
gene-OW489_RS00240	NZ_AP026446.1	53567	54814	+	1248	2596	2766	2665	2186	2628	1992
gene-OW489_RS00245	NZ_AP026446.1	54824	57364	+	2541	2071	2313	2197	1585	2148	1325
gene-OW489_RS00250	NZ_AP026446.1	57364	59409	+	2046	1362	1622	1514	932	1086	927
gene-OW489_RS00255	NZ_AP026446.1	59406	60062	+	657	314	427	336	272	322	255
gene-OW489_RS00260	NZ_AP026446.1	60072	60635	+	564	1073	903	781	832	936	767
gene-OW489_RS00265	NZ_AP026446.1	60635	61108	+	474	261	425	413	368	625	353
gene-OW489_RS00270	NZ_AP026446.1	61110	61685	+	576	135	144	157	106	92	95
gene-OW489_RS00275	NZ_AP026446.1	61673	62248	+	576	160	153	157	62	77	57
gene-OW489_RS00280	NZ_AP026446.1	62282	64318	+	2037	0	0	0	0	0	0
gene-OW489_RS00285	NZ_AP026446.1	64315	65523	+	1209	289	453	438	405	557	421
gene-OW489_RS00290	NZ_AP026446.1	65589	68270	+	2682	1187	1538	1459	1592	2017	1427
gene-OW489_RS00295	NZ_AP026446.1	68384	69130	+	747	10101	10135	11742	18657	20087	20819
gene-OW489_RS00300	NZ_AP026446.1	69181	70203	+	1023	2789	3362	3754	3220	5468	3366
gene-OW489_RS00305	NZ_AP026446.1	70208	70903	-	696	88	122	144	88	113	112
gene-OW489_RS00310	NZ_AP026446.1	71037	72170	+	1134	948	1511	1617	765	877	825
gene-OW489_RS00315	NZ_AP026446.1	72170	72955	+	786	668	544	530	493	837	502
gene-OW489_RS00320	NZ_AP026446.1	72940	73755	+	816	170	282	310	317	415	420
gene-OW489_RS00325	NZ_AP026446.1	73758	74435	+	678	1413	1352	1526	1710	2702	1645
gene-OW489_RS00330	NZ_AP026446.1	74452	75039	+	588	1483	1474	1571	1403	1819	1280
gene-OW489_RS00335	NZ_AP026446.1	75222	76274	-	1053	372	293	259	3625	4534	3164
gene-OW489_RS00340	NZ_AP026446.1	76422	80057	+	3636	2314	2320	2687	8492	12494	8110
gene-OW489_RS00345	NZ_AP026446.1	80039	80827	+	789	690	594	546	1423	1507	1523
gene-OW489_RS00350	NZ_AP026446.1	80882	81196	+	315	362	513	531	1258	1342	1197
gene-OW489_RS00355	NZ_AP026446.1	81556	82188	+	633	5565	5044	5213	3504	3940	3707
gene-OW489_RS00360	NZ_AP026446.1	82212	82739	+	528	4278	6173	6101	9421	7244	9758
gene-OW489_RS00365	NZ_AP026446.1	82747	83088	+	342	1595	2681	2780	3775	3717	3701
gene-OW489_RS00370	NZ_AP026446.1	83098	84009	+	912	7236	7694	8369	9847	13876	9077
gene-OW489_RS08090	NZ_AP026446.1	84333	84437	-	105	0	0	0	0	0	0
gene-OW489_RS00375	NZ_AP026446.1	84550	86784	-	2235	437	836	767	248	257	172
gene-OW489_RS00380	NZ_AP026446.1	86989	88341	-	1353	1723	2531	2331	442	630	440
gene-OW489_RS00385	NZ_AP026446.1	88334	89128	-	795	1097	2041	2190	737	1061	556
gene-OW489_RS00390	NZ_AP026446.1	89128	90768	-	1641	3619	4662	4618	1712	2493	1453
gene-OW489_RS00395	NZ_AP026446.1	90774	91127	-	354	1072	1502	1518	286	416	267
gene-OW489_RS00400	NZ_AP026446.1	91114	91599	-	486	6874	7522	8102	2602	3995	2597
gene-OW489_RS00405	NZ_AP026446.1	91559	91693	-	135	294	574	554	441	518	392
gene-OW489_RS00410	NZ_AP026446.1	91765	92166	-	402	3219	3929	4145	3887	4917	3575
gene-OW489_RS00415	NZ_AP026446.1	92177	92629	-	453	5118	5733	5955	6052	7340	5645
gene-OW489_RS00420	NZ_AP026446.1	92632	93090	-	459	949	2418	2440	1454	1723	1187
gene-OW489_RS00425	NZ_AP026446.1	93087	93890	-	804	1227	1047	1074	953	1361	997
gene-OW489_RS00430	NZ_AP026446.1	93890	94120	-	231	552	817	841	1336	1854	1310
gene-OW489_RS00435	NZ_AP026446.1	94138	94626	-	489	3696	2606	2921	4421	4393	4119
gene-OW489_RS00440	NZ_AP026446.1	94751	95530	+	780	410	782	883	395	606	394
gene-OW489_RS00445	NZ_AP026446.1	96028	97532	+	1505	0	0	0	0	0	0
gene-OW489_RS00455	NZ_AP026446.1	98639	99823	-	1185	0	0	0	0	0	0
gene-OW489_RS00460	NZ_AP026446.1	99832	100563	-	732	0	0	0	0	0	0
gene-OW489_RS00465	NZ_AP026446.1	100797	101057	-	261	0	1	4	1	1	1
gene-OW489_RS00470	NZ_AP026446.1	101128	102006	+	879	1436	1167	1322	1151	1228	1163
gene-OW489_RS00475	NZ_AP026446.1	102009	102890	+	882	663	944	1034	723	1027	763
gene-OW489_RS00485	NZ_AP026446.1	105979	106194	-	216	124	1824	1939	1676	1349	1506
gene-OW489_RS00490	NZ_AP026446.1	106458	107273	+	816	3764	4919	4942	1759	2320	1683
gene-OW489_RS00495	NZ_AP026446.1	107307	109391	+	2085	13996	12437	12949	5630	7098	4998
gene-OW489_RS00500	NZ_AP026446.1	109375	110364	+	990	3479	2946	2920	722	1001	766
gene-OW489_RS00505	NZ_AP026446.1	110361	111434	+	1074	3280	3913	3914	813	1101	635
gene-OW489_RS00510	NZ_AP026446.1	111611	111793	+	183	5230	55026	54968	127841	91581	104655
gene-OW489_RS00515	NZ_AP026446.1	112259	112879	-	621	126	202	140	189	181	128
gene-OW489_RS00520	NZ_AP026446.1	112981	113238	+	258	59	112	74	78	117	58
gene-OW489_RS00525	NZ_AP026446.1	113273	116035	+	2763	9146	8191	8377	12943	16603	12234
gene-OW489_RS00530	NZ_AP026446.1	116052	116966	+	915	1832	1555	1610	1741	2261	1448
gene-OW489_RS00535	NZ_AP026446.1	116967	118271	+	1305	497	534	614	541	936	474
gene-OW489_RS00540	NZ_AP026446.1	118282	118548	+	267	120	157	208	243	343	201
gene-OW489_RS00545	NZ_AP026446.1	118552	119331	+	780	36	27	43	33	57	55
gene-OW489_RS00550	NZ_AP026446.1	119376	120227	-	852	1	17	15	9	12	7
gene-OW489_RS00555	NZ_AP026446.1	120209	121045	-	837	5	10	10	1	6	5
gene-OW489_RS00560	NZ_AP026446.1	121055	122158	-	1104	242	371	341	179	251	166
gene-OW489_RS00565	NZ_AP026446.1	122163	123101	-	939	61	73	71	47	64	36
gene-OW489_RS00570	NZ_AP026446.1	123064	123405	-	342	478	912	979	1038	1362	900
gene-OW489_RS00575	NZ_AP026446.1	123465	123905	+	441	187	275	265	710	757	655
gene-OW489_RS00580	NZ_AP026446.1	124023	124925	-	903	0	0	0	0	0	0
gene-OW489_RS00590	NZ_AP026446.1	126936	127376	-	441	0	0	0	0	0	0
gene-OW489_RS00595	NZ_AP026446.1	128508	131395	+	2888	0	0	0	0	0	0
gene-OW489_RS00600	NZ_AP026446.1	131627	131744	+	118	0	0	0	0	0	0
gene-OW489_RS00605	NZ_AP026446.1	132877	133755	-	879	523	605	667	1267	2391	1227
gene-OW489_RS00610	NZ_AP026446.1	133755	134603	-	849	157	173	235	502	715	523
gene-OW489_RS08165	NZ_AP026446.1	134735	134863	+	129	0	0	0	0	0	0
gene-OW489_RS00615	NZ_AP026446.1	134920	137352	+	2433	577	1355	1429	1533	2117	1292
gene-OW489_RS00620	NZ_AP026446.1	137355	139163	+	1809	200	565	540	1068	1371	862
gene-OW489_RS00630	NZ_AP026446.1	139993	141273	-	1281	12528	10962	11434	15399	20219	13722
gene-OW489_RS00635	NZ_AP026446.1	141469	142746	+	1278	16754	13610	14341	26381	26223	25059
gene-OW489_RS00640	NZ_AP026446.1	142817	143344	+	528	10295	7624	8490	13519	20964	12524
gene-OW489_RS00645	NZ_AP026446.1	143321	143977	-	657	108	92	87	50	61	51
gene-OW489_RS00650	NZ_AP026446.1	143981	145690	-	1710	0	0	0	0	0	0
gene-OW489_RS00655	NZ_AP026446.1	145798	146211	+	414	1213	1470	1395	2005	2285	1906
gene-OW489_RS00660	NZ_AP026446.1	146231	146506	+	276	211	120	161	214	259	202
gene-OW489_RS00665	NZ_AP026446.1	146506	148728	+	2223	2425	2516	2718	4099	5912	4052
gene-OW489_RS00670	NZ_AP026446.1	148718	149068	+	351	212	169	225	191	376	229
gene-OW489_RS00675	NZ_AP026446.1	149079	149372	+	294	117	185	209	285	327	339
gene-OW489_RS00680	NZ_AP026446.1	149372	150367	+	996	817	1221	1411	1288	2133	1265
gene-OW489_RS00685	NZ_AP026446.1	150373	151428	+	1056	546	447	523	320	498	311
gene-OW489_RS00690	NZ_AP026446.1	151444	151569	+	126	0	0	1	0	0	1
gene-OW489_RS00695	NZ_AP026446.1	151566	152309	+	744	750	974	819	119	199	104
gene-OW489_RS00700	NZ_AP026446.1	152309	153274	+	966	124	235	212	34	40	36
gene-OW489_RS00705	NZ_AP026446.1	153267	154403	+	1137	339	488	389	98	85	74
gene-OW489_RS00710	NZ_AP026446.1	154473	155885	+	1413	955	1355	1261	808	895	749
gene-OW489_RS00715	NZ_AP026446.1	155900	157045	+	1146	2313	3331	3434	4019	5095	3684
gene-OW489_RS00720	NZ_AP026446.1	157038	157970	+	933	2604	2592	2589	2818	3669	3062
gene-OW489_RS00725	NZ_AP026446.1	158239	159237	-	999	711	546	502	911	1212	825
gene-OW489_RS00730	NZ_AP026446.1	159240	161492	-	2253	169	210	188	195	309	185
gene-OW489_RS00735	NZ_AP026446.1	161489	162481	-	993	141	304	354	448	708	399
gene-OW489_RS00740	NZ_AP026446.1	162533	163231	-	699	3	12	6	4	2	0
gene-OW489_RS00745	NZ_AP026446.1	163228	164295	-	1068	27	48	48	22	11	21
gene-OW489_RS00750	NZ_AP026446.1	164292	165527	-	1236	1	10	12	1	4	3
gene-OW489_RS00755	NZ_AP026446.1	165974	167005	-	1032	685	1731	1644	421	565	426
gene-OW489_RS00760	NZ_AP026446.1	167015	167797	-	783	718	1693	1834	575	816	571
gene-OW489_RS00770	NZ_AP026446.1	168360	169859	-	1500	1398	1432	1757	2517	4060	2586
gene-OW489_RS00775	NZ_AP026446.1	169886	173443	-	3558	9951	8893	9727	12805	18235	11943
gene-OW489_RS00780	NZ_AP026446.1	173772	173981	+	210	841	6723	7580	12208	14906	12481
gene-OW489_RS00790	NZ_AP026446.1	175200	175622	+	423	0	0	0	0	0	0
gene-OW489_RS00805	NZ_AP026446.1	178789	179049	+	261	0	0	0	0	0	0
gene-OW489_RS00810	NZ_AP026446.1	179059	180474	+	1416	0	0	0	0	0	0
gene-OW489_RS08175	NZ_AP026446.1	180478	180870	+	393	13	7	1	38	24	26
gene-OW489_RS00815	NZ_AP026446.1	180840	181265	+	426	12	11	5	41	34	35
gene-OW489_RS00820	NZ_AP026446.1	181267	181617	+	351	0	0	0	0	0	0
gene-OW489_RS00830	NZ_AP026446.1	184108	184893	-	786	1514	856	737	872	1324	869
gene-OW489_RS00835	NZ_AP026446.1	184893	185492	-	600	9886	4727	4906	5425	6091	5220
gene-OW489_RS00840	NZ_AP026446.1	185521	186246	-	726	496	805	864	508	556	413
gene-OW489_RS00845	NZ_AP026446.1	186304	186816	-	513	6417	5255	6086	5582	8212	5259
gene-OW489_RS00850	NZ_AP026446.1	186818	187405	-	588	23208	16069	18040	15459	24416	14737
gene-OW489_RS00855	NZ_AP026446.1	187598	189307	-	1710	60055	42814	47391	67388	117511	55577
gene-OW489_RS00860	NZ_AP026446.1	189311	190027	-	717	18374	16286	15926	23832	27766	21425
gene-OW489_RS00865	NZ_AP026446.1	190294	190369	-	76	0	0	0	0	0	0
gene-OW489_RS00870	NZ_AP026446.1	190390	190863	-	474	97	182	206	97	90	98
gene-OW489_RS00875	NZ_AP026446.1	190857	192194	-	1338	1377	1379	1391	1186	1458	1086
gene-OW489_RS00880	NZ_AP026446.1	192284	192553	+	270	857	5012	4695	4807	4245	3787
gene-OW489_RS00885	NZ_AP026446.1	192669	193727	+	1059	5663	5808	5469	383	568	431
gene-OW489_RS00890	NZ_AP026446.1	193874	195655	+	1782	351	478	595	682	741	596
gene-OW489_RS00895	NZ_AP026446.1	195813	196082	+	270	0	0	0	0	0	0
gene-OW489_RS00900	NZ_AP026446.1	196368	198389	-	2022	3441	5338	5545	5464	7077	4981
gene-OW489_RS00905	NZ_AP026446.1	198386	198589	-	204	1	1	0	0	0	0
gene-OW489_RS00910	NZ_AP026446.1	198543	198932	-	390	9217	5865	6187	1310	1281	1485
gene-OW489_RS00915	NZ_AP026446.1	198929	199354	-	426	7300	9357	10785	1957	2794	2029
gene-OW489_RS00920	NZ_AP026446.1	199539	199727	-	189	261	301	352	411	532	325
gene-OW489_RS00925	NZ_AP026446.1	199734	201086	-	1353	6658	7226	7778	8755	12249	7979
gene-OW489_RS00930	NZ_AP026446.1	201140	202504	-	1365	1776	2420	2423	2983	3896	2660
gene-OW489_RS00935	NZ_AP026446.1	202525	204582	-	2058	9980	9627	10522	20723	26306	19623
gene-OW489_RS00940	NZ_AP026446.1	204751	205446	-	696	423	539	549	203	291	258
gene-OW489_RS00945	NZ_AP026446.1	205457	206386	-	930	12091	6908	7346	11390	14899	13954
gene-OW489_RS00950	NZ_AP026446.1	206516	206607	+	92	2877	12019	11998	10812	9176	8374
gene-OW489_RS00955	NZ_AP026446.1	206816	207649	+	834	0	0	0	0	0	0
gene-OW489_RS00960	NZ_AP026446.1	207643	208473	+	831	252	243	303	105	113	65
gene-OW489_RS00965	NZ_AP026446.1	208494	208934	-	441	266	234	221	58	76	51
gene-OW489_RS00970	NZ_AP026446.1	208931	209398	-	468	213	320	338	153	176	121
gene-OW489_RS00975	NZ_AP026446.1	209498	210028	-	531	168	283	282	233	324	233
gene-OW489_RS00980	NZ_AP026446.1	210101	211045	+	945	1700	1411	1491	1406	1491	1283
gene-OW489_RS00985	NZ_AP026446.1	211401	212111	-	711	6093	8141	7965	5820	7269	5618
gene-OW489_RS00990	NZ_AP026446.1	212217	213677	-	1461	1150	1410	1375	1631	2187	1524
gene-OW489_RS00995	NZ_AP026446.1	213872	215899	+	2028	5648	5658	6178	8534	12286	8432
gene-OW489_RS01000	NZ_AP026446.1	215899	217005	+	1107	2742	1882	2009	2481	3943	2427
gene-OW489_RS01005	NZ_AP026446.1	217123	217884	+	762	55	81	89	41	52	25
gene-OW489_RS01010	NZ_AP026446.1	217856	218638	-	783	309	547	557	63	98	54
gene-OW489_RS01015	NZ_AP026446.1	218754	219899	-	1146	0	0	0	0	0	0
gene-OW489_RS01020	NZ_AP026446.1	219899	221920	-	2022	0	0	0	0	0	0
gene-OW489_RS01030	NZ_AP026446.1	224000	225712	-	1713	78	141	141	99	123	81
gene-OW489_RS01035	NZ_AP026446.1	225880	226347	-	468	1057	967	968	1872	1857	1941
gene-OW489_RS01040	NZ_AP026446.1	226382	227524	-	1143	299	271	359	504	699	489
gene-OW489_RS01045	NZ_AP026446.1	227545	228462	-	918	163	90	141	130	215	155
gene-OW489_RS01050	NZ_AP026446.1	228570	229148	+	579	12	10	11	17	32	16
gene-OW489_RS01055	NZ_AP026446.1	229284	231146	-	1863	241	261	481	3811	14230	3218
gene-OW489_RS01060	NZ_AP026446.1	231177	231752	-	576	221	123	191	1700	3353	1681
gene-OW489_RS01065	NZ_AP026446.1	231752	232582	-	831	1529	713	852	8882	19691	8689
gene-OW489_RS01070	NZ_AP026446.1	232802	233440	+	639	1267	1456	1342	982	1147	908
gene-OW489_RS01075	NZ_AP026446.1	233461	233757	+	297	227	611	579	906	1022	792
gene-OW489_RS01080	NZ_AP026446.1	233769	235652	-	1884	6182	6797	8827	1540	3124	1368
gene-OW489_RS01085	NZ_AP026446.1	235702	237246	-	1545	5533	6173	8937	2925	4677	2757
gene-OW489_RS01090	NZ_AP026446.1	237412	239622	+	2211	825	1168	1162	1869	2201	1670
gene-OW489_RS01095	NZ_AP026446.1	239615	240541	+	927	508	436	469	722	915	560
gene-OW489_RS01100	NZ_AP026446.1	240633	241898	-	1266	10	24	26	30	61	28
gene-OW489_RS01105	NZ_AP026446.1	242092	244530	-	2439	2317	1940	2674	3878	7619	3797
gene-OW489_RS01110	NZ_AP026446.1	244888	246726	+	1839	8488	9076	9006	4513	5333	4459
gene-OW489_RS01115	NZ_AP026446.1	246723	247334	+	612	3023	4282	4228	2070	2209	1908
gene-OW489_RS01120	NZ_AP026446.1	247315	247509	+	195	469	1219	1086	698	775	727
gene-OW489_RS01125	NZ_AP026446.1	247604	247954	+	351	11465	9727	9640	5179	5860	5454
gene-OW489_RS01130	NZ_AP026446.1	248154	249014	+	861	30449	30866	31162	23352	27933	22576
gene-OW489_RS01140	NZ_AP026446.1	250202	251062	+	861	16596	16525	16517	11084	10511	10583
gene-OW489_RS01145	NZ_AP026446.1	251934	253301	-	1368	469	417	495	583	821	579
gene-OW489_RS01150	NZ_AP026446.1	253301	254542	-	1242	695	755	765	892	1269	882
gene-OW489_RS01155	NZ_AP026446.1	254723	256072	+	1350	3165	1859	1805	2620	2853	2736
gene-OW489_RS01160	NZ_AP026446.1	256151	256285	+	135	65	135	148	97	189	89
gene-OW489_RS01165	NZ_AP026446.1	256515	256973	-	459	2556	2403	2673	4186	6107	3497
gene-OW489_RS01170	NZ_AP026446.1	256983	257618	-	636	2862	2142	2347	3741	4825	3689
gene-OW489_RS01175	NZ_AP026446.1	257611	259056	-	1446	5220	4851	5422	8548	11753	7699
gene-OW489_RS01180	NZ_AP026446.1	259085	259813	-	729	1911	1748	1819	2186	2653	2303
gene-OW489_RS01185	NZ_AP026446.1	260027	261673	+	1647	11751	8833	9048	2377	3615	2244
gene-OW489_RS01190	NZ_AP026446.1	261734	263389	+	1656	9584	8986	9392	2727	3895	2358
gene-OW489_RS01195	NZ_AP026446.1	263413	264399	-	987	204	288	313	134	197	114
gene-OW489_RS01200	NZ_AP026446.1	264401	265849	-	1449	1135	787	684	647	727	627
gene-OW489_RS01205	NZ_AP026446.1	266019	267485	+	1467	1280	1792	2209	3814	5147	4281
gene-OW489_RS01210	NZ_AP026446.1	267498	268196	+	699	1089	1210	1523	2811	4653	3154
gene-OW489_RS01215	NZ_AP026446.1	268207	268425	+	219	372	426	509	857	2202	847
gene-OW489_RS01220	NZ_AP026446.1	268427	269305	+	879	4104	2933	3400	6926	8617	6155
gene-OW489_RS01225	NZ_AP026446.1	269316	269522	+	207	453	1157	1333	2851	4490	2631
gene-OW489_RS01230	NZ_AP026446.1	269623	270207	+	585	3458	2650	3081	4550	8135	4293
gene-OW489_RS01235	NZ_AP026446.1	270219	270800	+	582	339	286	324	456	606	423
gene-OW489_RS01240	NZ_AP026446.1	270888	271655	+	768	2025	3033	3075	3596	4591	3518
gene-OW489_RS01245	NZ_AP026446.1	271652	272518	-	867	199	514	465	333	360	338
gene-OW489_RS01250	NZ_AP026446.1	272617	273660	+	1044	796	980	1317	1857	3299	2024
gene-OW489_RS01255	NZ_AP026446.1	273672	274952	+	1281	2105	2351	3239	4588	7263	4841
gene-OW489_RS01260	NZ_AP026446.1	274945	275220	+	276	616	589	910	906	1792	923
gene-OW489_RS01265	NZ_AP026446.1	275237	275833	+	597	1448	1716	2453	1931	3195	1700
gene-OW489_RS01270	NZ_AP026446.1	275838	276326	+	489	779	824	964	512	842	472
gene-OW489_RS01275	NZ_AP026446.1	276348	277304	+	957	673	606	671	317	453	239
gene-OW489_RS01280	NZ_AP026446.1	277301	278419	-	1119	162	394	464	152	238	109
gene-OW489_RS01285	NZ_AP026446.1	278576	279493	+	918	53	144	217	161	320	167
gene-OW489_RS01290	NZ_AP026446.1	280272	280994	-	723	1034	1612	1608	791	862	807
gene-OW489_RS01295	NZ_AP026446.1	280995	281966	-	972	1187	1375	1517	440	516	371
gene-OW489_RS01300	NZ_AP026446.1	281951	283321	-	1371	3432	5104	6029	1563	2917	1359
gene-OW489_RS01305	NZ_AP026446.1	283347	284024	-	678	20744	17794	19316	10552	13995	10177
gene-OW489_RS01310	NZ_AP026446.1	284260	284802	-	543	29	92	90	24	60	25
gene-OW489_RS01315	NZ_AP026446.1	284793	285056	-	264	86	89	111	36	47	21
gene-OW489_RS01320	NZ_AP026446.1	285100	286380	-	1281	1452	1823	2036	1801	2881	1790
gene-OW489_RS01325	NZ_AP026446.1	286383	287102	-	720	2379	2063	2343	3810	5594	3669
gene-OW489_RS01330	NZ_AP026446.1	287177	288268	-	1092	563	894	933	682	1035	707
gene-OW489_RS01340	NZ_AP026446.1	289359	290126	-	768	155	202	257	128	170	136
gene-OW489_RS01345	NZ_AP026446.1	290120	290848	-	729	79	303	268	146	222	140
gene-OW489_RS01355	NZ_AP026446.1	291331	292230	+	900	13393	12926	15009	16078	23260	15377
gene-OW489_RS01360	NZ_AP026446.1	292247	293170	+	924	20908	13819	15024	14941	16446	15382
gene-OW489_RS01365	NZ_AP026446.1	293192	293755	+	564	3464	5046	5115	5171	4716	5476
gene-OW489_RS01370	NZ_AP026446.1	293881	294909	-	1029	348	489	494	431	652	407
gene-OW489_RS01375	NZ_AP026446.1	294913	295554	-	642	134	300	304	211	246	191
gene-OW489_RS01380	NZ_AP026446.1	295554	296828	-	1275	214	456	413	196	257	157
gene-OW489_RS01385	NZ_AP026446.1	297058	297780	+	723	553	810	806	413	568	396
gene-OW489_RS01390	NZ_AP026446.1	297790	299295	+	1506	6449	6470	6815	5053	6691	4528
gene-OW489_RS01395	NZ_AP026446.1	299295	300545	+	1251	2059	2026	2321	2274	3303	2598
gene-OW489_RS01400	NZ_AP026446.1	300556	301098	+	543	998	1680	1905	1501	1645	1593
gene-OW489_RS01405	NZ_AP026446.1	301120	301920	+	801	1100	2532	2716	2937	3913	2767
gene-OW489_RS01415	NZ_AP026446.1	304135	304671	+	537	1439	1263	1578	952	1237	934
